HTTP Status Report for audemarspiguet.com
Generated on: 2025-11-26T10:43:45.683Z

================================================================================
SUMMARY
================================================================================
Total URLs Checked: 7439
✓ Success (2xx): 7292
→ Redirects (3xx): 116
✗ Client Errors (4xx): 0
✗ Server Errors (5xx): 9
✗ Connection Errors: 22

Status Code Breakdown:
  200: 7292 URLs
  301: 9 URLs
  302: 107 URLs
  500: 9 URLs
  ERROR: 22 URLs

================================================================================
DETAILED RESULTS
================================================================================


SUCCESS (2xx):
--------------------------------------------------------------------------------
[200] https://www.audemarspiguet.com/com/ja/home.html
[200] https://www.audemarspiguet.com/com/ja/collections.html
[200] https://www.audemarspiguet.com/com/ja/collections/haute-joaillerie.html
[200] https://www.audemarspiguet.com/com/ja/collections/jules-audemars.html
[200] https://www.audemarspiguet.com/com/ja/collections/Classique.html
[200] https://www.audemarspiguet.com/com/ja/collections/royal-oak-collection.html
[200] https://www.audemarspiguet.com/com/ja/collections/royal-oak-offshore-collection.html
[200] https://www.audemarspiguet.com/com/ja/collections/royal-oak-concept-collection.html
[200] https://www.audemarspiguet.com/com/ja/collections/code-11-59-collection.html
[200] https://www.audemarspiguet.com/com/ja/collections/remaster-collection.html
[200] https://www.audemarspiguet.com/com/ja/about/music.html
[200] https://www.audemarspiguet.com/com/ja/about/music/montreux-jazz-festival.html
[200] https://www.audemarspiguet.com/com/ja/about/origins.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/ever-greater-precision.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/astronomy.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/design.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/design/innovation-is-feminine.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/design/materials.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/decoration.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/measuring-time-interval.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/grandes-complications.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/forward-thinking-spirit.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/forward-thinking-spirit/the-rd--saga.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/materials.html
[200] https://www.audemarspiguet.com/com/ja/about/savoir-faire/personalization.html
[200] https://www.audemarspiguet.com/com/ja/about/audemars-piguet-contemporary.html
[200] https://www.audemarspiguet.com/com/ja/about/audemars-piguet-contemporary/art-basel.html
[200] https://www.audemarspiguet.com/com/ja/about/our-commitments.html
[200] https://www.audemarspiguet.com/com/ja/about/commitments.html
[200] https://www.audemarspiguet.com/com/ja/about/commitments/people-and-communities.html
[200] https://www.audemarspiguet.com/com/ja/about/commitments/environment.html
[200] https://www.audemarspiguet.com/com/ja/about/commitments/governance.html
[200] https://www.audemarspiguet.com/com/ja/news.html
[200] https://www.audemarspiguet.com/com/ja/news/art/Jana-Winderen-Du-Petit-Risoud-aux-profondeurs-du-Lac-de-Joux.html
[200] https://www.audemarspiguet.com/com/ja/news/art/jana-winderen-the-art-of-listening-under-water.html
