HTTP Status Report for sunfeastyippee.com
Generated on: 2025-12-16T10:56:08.357Z

================================================================================
SUMMARY
================================================================================
Total URLs Checked: 177
✓ Success (2xx): 175
→ Redirects (3xx): 2
✗ Client Errors (4xx): 0
✗ Server Errors (5xx): 0
✗ Connection Errors: 0

Status Code Breakdown:
  200: 175 URLs
  301: 1 URLs
  302: 1 URLs

================================================================================
DETAILED RESULTS
================================================================================


SUCCESS (2xx):
--------------------------------------------------------------------------------
[200] https://sunfeastyippee.com/our-story.html
[200] https://sunfeastyippee.com/recipe-listing.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-roti-cutlet.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-shawarma.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodle-garlic-bread-toast.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-aloo-cheese-toast-sandwich.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-mushroom-stir-fry.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-coconut-noodles-curry.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-methi-muthia.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-pumpkin-noodles-fritters.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-paneer-bhurji-noodles.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-slider.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-quick-noodles-egg-cake.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-peppy-stuffed-capsicum.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-on-toast.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-potato-atta-noodles-soup.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-spicy-pesto-noodles.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-spicy-creamy-noodles-boat.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-paneer-noodles-paneer-fry.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-ragada-patties.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodle-cheese-bread-pakora.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-one-pot-meal.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-bombay-style-frankie.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-phodniche-noodles.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-spinach-corn-atta-noodles.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-quick-noodle-eggs-fry.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-hot-dog.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodle-lasagna.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-cheesy-cheesy-noodles.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-egg-toast.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodle-masala-maska-pav.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-paani-puri.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-pulao.html
[200] https://sunfeastyippee.com/recipe-listing/yippee-noodles-veggies-toasty.html
