Customer Name,Original URL,Normalized URL,Sitemap Page Count
PNB MetLife India Insurance Company Ltd,https://www.pnbmetlife.com/,https://www.pnbmetlife.com,1198
Caltex (Chevron),https://www.caltex.com,https://www.caltex.com,2915
Virtusa Corp.,https://newsroom.virtusa.com,https://newsroom.virtusa.com,NA
Tesco Mobile Ltd,https://tescomobile-prod.adobemsbasic.com,https://tescomobile-prod.adobemsbasic.com,NA
HSBC Global Services Limited,https://livesign.hsbc.com.sg/libs/granite/csrf/token.json,https://livesign.hsbc.com.sg,NA
Pacific Life Insurance Company,https://www.pacificlife.com,https://www.pacificlife.com,390
Yada Energia S.R.L,https://nen.it/,https://nen.it,0
Momentive Performance Materials Inc.,https://www.momentive.jp/content/momentive/jp/ja.html,https://www.momentive.jp,0
Future Generali India Insurance Co Ltd,https://www.generalicentralinsurance.com/,https://www.generalicentralinsurance.com,669
Future Generali India Insurance Co Ltd,https://www.generalicentralinsurance.com/,https://www.generalicentralinsurance.com,669
Uniting,https://www.uniting.org,https://www.uniting.org,1270
CFSGAM Services Pty Ltd,https://www.firstsentierinvestors.com.au?newrelic=test,https://www.firstsentierinvestors.com.au,2226
Moog Inc,http://www.moog.com,http://www.moog.com,1433
Flughafen Berlin Brandenburg gmbh,https://ber.berlin-airport.de/en.html?amstest,https://ber.berlin-airport.de,NA
Telstra (Wholesale),https://www.telstrawholesale.com.au,https://www.telstrawholesale.com.au,0
GoodLife Fitness Centre,https://www.goodlifefitness.com/home.html?newrelic=test,https://www.goodlifefitness.com,0
BMC Software Inc,https://www.bmc.com,https://www.bmc.com,5080
24 Hour Fitness,https://www.24hourfitness.com/?newrelic=test,https://www.24hourfitness.com,638
McDonalds Promotions GmbH,https://www.m-hub.mcdonalds.de,https://www.m-hub.mcdonalds.de,0
Alexander Forbes Group (Basic),https://www.alexforbes.com/za/en/global/home-global.html,https://www.alexforbes.com,NA
Ego Pharmaceuticals Pty Ltd,https://www.qvskincare.com/hk/en.html?newrelic=test,https://www.qvskincare.com,0
Dropbox,https://www.dropbox.com/jobs,https://www.dropbox.com,28056
CST Consultants Inc.,https://www.cst.org/en/spark,https://www.cst.org,79
Kemin Industries,https://www.kemin.com/na/en-us/home,https://www.kemin.com,4841
National Rural Utilities Cooperative Finance Corporation,https://www.nrucfc.coop/content/nrucfc/en.html?health=check,https://www.nrucfc.coop,0
Research Affiliates LLC,https://originpreprod.researchaffiliates.com/en_us/home.html,https://originpreprod.researchaffiliates.com,NA
Cambridge Investment Research,https://www.joincambridge.com,https://www.joincambridge.com,450
Griffith University,https://publish-assets.griffith.edu.au,https://publish-assets.griffith.edu.au,NA
Lionbridge Technologies,https://www.lionbridge.com​,https://www.lionbridge.com,7412
Riverbed IT,https://support.riverbed.com,https://support.riverbed.com,NA
UST Global,https://www.ust.com,https://www.ust.com,2284
Avery Dennison Corp,https://www.averydennison.com,https://www.averydennison.com,1443
Ministerio De Asuntos Economicos,https://spainaudiovisualhub.mineco.gob.es/,https://spainaudiovisualhub.mineco.gob.es,NA
Entegris,https://www.entegris.com?newrelic=test,https://www.entegris.com,3954
ZS Associates,https://origin01-www.zs.com/,https://origin01-www.zs.com,NA
NV Moteo Two Wheels Europe,https://www.sym.be,https://www.sym.be,258
RSM US LLP,https://rsmus.com,https://rsmus.com,7465
We.Retail Smoke Test Basic,https://weretailsandbox-prod.adobemsbasic.com,https://weretailsandbox-prod.adobemsbasic.com,NA
Wideroe AS,https://www.wideroe.no/?newrelic=test,https://www.wideroe.no,0
AXPO Services AG,https://www.axpo.com/ch/de/ueber-uns.html,https://www.axpo.com,19668
Technische Unie BV,https://www.c.technischeunie.nl,https://www.c.technischeunie.nl,3572
Ethias SA,https://www.ethias.be,https://www.ethias.be,NA
Renta 4 Banco SA,https://www.r4.com/,https://www.r4.com,202
HD Supply Facilities Maintenance,https://hdsupplysolutions.com/ns/contact_us,https://hdsupplysolutions.com,140928
Coherent Inc,https://www.coherent.com,https://www.coherent.com,9377
Nethys SA,https://assistance.voo.be/bin/version,https://assistance.voo.be,NA
Southern Company Services,https://www.georgiapower.com/,https://www.georgiapower.com,790
Vizio Inc.,https://www.vizio.com,https://www.vizio.com,2984
MTU Friedrichshafen gmbh,https://www.mtu-solutions.com/eu/en.regionselect.html,https://www.mtu-solutions.com,20118
Redstone Federal Credit Union,https://www.redfcu.org,https://www.redfcu.org,314
KEMET Corporation,https://www.kemet.com,https://www.kemet.com,0
Ariston Thermo Spa,https://www.ingrado.com,https://www.ingrado.com,78
FCCI Services Inc,https://www.fcci-group.com,https://www.fcci-group.com,0
Education Affiliates,https://www.fortis.edu/?,https://www.fortis.edu,1656
H. Lundbeck AS,https://www.lundbeck.com/global,https://www.lundbeck.com,2352
Korn Ferry,https://www.kfadvance.com/?monitoring=amsnewrelic,https://www.kfadvance.com,605
Hilton Domestic Operating Company Inc,https://www.hilton.com/en/hilton-honors-rewards-program/,https://www.hilton.com,NA
Nuance Communications,http://www.nuance.com,http://www.nuance.com,1046
WR Grace,https://grace.com​,https://grace.com,483
The Bank of Nova Scotia,https://dynamic.ca/en.html?monitoring=ams,https://dynamic.ca,0
Singapore Life Ltd,https://singlife.com,https://singlife.com,318
City of Sacramento,https://www.cityofsacramento.gov/,https://www.cityofsacramento.gov,0
Radley and Co Ltd.,https://www.radley.co.uk,https://www.radley.co.uk,0
University of Canberra,https://www.canberra.edu.au/services/wcm/monitor.json,https://www.canberra.edu.au,5873
Hottinger Bruel and Kjaer GmbH,https://www.hbkworld.com/,https://www.hbkworld.com,NA
Hill-Rom Services Inc.,https://www.hillrom.com/,https://www.hillrom.com,1371
Agilent Technologies,https://www.agilent.com/about/newsroom/presrel.html,https://www.agilent.com,426470
Orora Packaging Solutions,https://www.landsberg.com/us/en.html,https://www.landsberg.com,0
Trustmark National Bank,https://www.trustmark.com,https://www.trustmark.com,1021
CEAT Limited,https://www.ceat.com,https://www.ceat.com,1745
Thoughtworks,https://www.thoughtworks.com/en-sg,https://www.thoughtworks.com,137036
John Lewis Plc (Basic),https://www.johnlewisfinance.com,https://www.johnlewisfinance.com,290
Ageas SA NV,https://ag.be/jobs/nl,https://ag.be,2
USCC Services LLC,https://3.227.99.187/libs/granite/core/content/login.html,https://3.227.99.187,NA
Elkay Manufacturing Company,https://www.elkay.com/us/en.html,https://www.elkay.com,5680
Bruker Biospin gmbh,https://www.bruker.com/en.html,https://www.bruker.com,58328
Gigamon,https://www.gigamon.com,https://www.gigamon.com,370
University of Adelaide,https://myadelaide.uni.adelaide.edu.au/,https://myadelaide.uni.adelaide.edu.au,NA
Stepan Company,https://www.stepan.com/,https://www.stepan.com,1987
Finning International Inc.,https://www.finning.com/en_CA/products.html,https://www.finning.com,21583
Helly Hansen AS,https://www.hellyhansen.com/sustainability,https://www.hellyhansen.com,0
Gap (Basic),https://intranet.gap.com/en_us/adobe-monitor.html,https://intranet.gap.com,NA
Credit Union National Association,https://www.cunacouncils.org,https://www.cunacouncils.org,0
Equinix Inc,https://www.equinix.com/resources/analyst-reports/idc-abc-dx-strategy-applications-business-cloud,https://www.equinix.com,4143
